公司名,时间,目标词的总词频,总词频,比值
000002万科A,2010,0,186938,0.0000
000002万科A,2011,0,192448,0.0000
000002万科A,2012,0,205333,0.0000
000002万科A,2013,5,101297,0.0049
000002万科A,2014,5,107892,0.0046
000002万科A,2015,3,113186,0.0027
000002万科A,2016,6,220714,0.0027
000002万科A,2017,2,245736,0.0008
000002万科A,2018,11,273948,0.0040
000002万科A,2019,9,256854,0.0035
000002万科A,2020,15,276504,0.0054
000002万科A,2021,16,284232,0.0056
000002万科A,2022,11,262271,0.0042
000006深振业A,2010,0,90260,0.0000
000006深振业A,2011,2,86414,0.0023
000006深振业A,2012,2,95287,0.0021
000006深振业A,2013,5,99414,0.0050
000006深振业A,2014,4,104501,0.0038
000006深振业A,2015,2,102948,0.0019
000006深振业A,2016,2,112019,0.0018
000006深振业A,2017,2,112621,0.0018
000006深振业A,2018,2,108586,0.0018
000006深振业A,2019,2,114387,0.0017
000006深振业A,2020,4,116002,0.0034
000006深振业A,2021,4,124777,0.0032
000006深振业A,2022,2,120706,0.0017
000012南玻A,2010,0,89492,0.0000
000012南玻A,2011,0,95993,0.0000
000012南玻A,2012,1,85457,0.0012
000012南玻A,2013,0,91779,0.0000
000012南玻A,2014,0,93952,0.0000
000012南玻A,2015,0,96933,0.0000
000012南玻A,2016,0,166659,0.0000
000012南玻A,2017,0,104950,0.0000
000012南玻A,2018,0,108687,0.0000
000012南玻A,2019,0,122957,0.0000
000012南玻A,2020,0,123172,0.0000
000012南玻A,2021,0,70625,0.0000
000012南玻A,2022,0,125237,0.0000
000016深康佳A,2010,0,312781,0.0000
000016深康佳A,2011,0,129526,0.0000
000016深康佳A,2012,0,128171,0.0000
000016深康佳A,2013,1,159863,0.0006
000016深康佳A,2014,1,140027,0.0007
000016深康佳A,2015,0,142210,0.0000
000016深康佳A,2016,0,140512,0.0000
000016深康佳A,2017,0,166004,0.0000
000016深康佳A,2018,1,183761,0.0005
000016深康佳A,2019,1,176249,0.0006
000016深康佳A,2020,0,200249,0.0000
000016深康佳A,2021,0,210368,0.0000
